AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
222180,Mushroom Men: Truffle Trouble,10-Mar-15,0 - 20000,0,2.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese']",25,16,15,0,197,Red Fly Studio,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Indie"
578610,Super Pixel Smash,25-Jan-17,0 - 20000,0,7.99,['English'],11,1,0,0,0,Rank17,"Single-player,Steam Leaderboards","Action,Casual,Indie,Sports"
891350,JUST DASH,18-Aug-18,0 - 20000,0,1.49,['English'],19,12,0,0,0,EncoderX,Single-player,"Action,Adventure,Casual,Indie"
1291210,Justice.exe,21-Jul-22,0 - 20000,0,9.59,"['English', 'Simplified Chinese']",30,3,0,0,0,"Gameclaw Studio,IndieArk","Single-player,Steam Achievements","Indie,RPG,Early Access"
1964110,Sky Caravan Playtest,20-Apr-22,0 - 0,0,0,[],0,0,0,0,0,,,
1397650,Jetborne Racing,27-May-21,20000 - 50000,0,4.99,['English'],361,32,0,350,0,"Boundless Dynamics, LLC","Single-player,Multi-player,PvP,Online PvP,Steam Leaderboards","Indie,Racing,Simulation"
895650,Save The Cookie,30-Oct-18,0 - 20000,0,0.99,['English'],6,1,0,0,0,Chota Games Studio,"Single-player,Steam Leaderboards","Action,Casual,Indie"
604980,Travel Riddles: Trip To India,10-Mar-17,0 - 20000,0,9.99,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Russian', 'Ukrainian']",18,2,16,0,0,Notus Games Ltd,"Single-player,Steam Achievements,Steam Cloud",Casual
516900,Oniris Basket VR,17-Sep-16,0 - 20000,0,3.99,['English'],5,0,0,0,0,Oniris Studios,Single-player,"Sports,Early Access"
504470,Salvaged,17-Nov-16,0 - 20000,0,12.99,['English'],6,8,45,0,0,Opposable Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Strategy,Early Access"
1756750,HERADÔNIA Director's cut,5-Jan-22,0 - 20000,0,1.99,"['English', 'Portuguese - Brazil']",1,3,0,0,0,Rafael Fagiani,Single-player,"Action,Indie"
393080,Call of Duty®: Modern Warfare® Remastered,27-Jul-17,500000 - 1000000,17,19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",4304,2361,50,4794,435,Activision,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements",Action
806900,Them Bombs,10-Jul-19,0 - 20000,0,10.99,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Greek', 'Portuguese - Brazil', 'Russian', 'Romanian', 'Turkish', 'Portuguese', 'Simplified Chinese', 'Spanish - Latin America', 'Czech']",17,0,0,0,0,Yellow Dot,"Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Full controller support,Steam Cloud,Remote Play Together","Casual,Indie"
1704640,The Ancient Art of War in the Skies,20-Jan-22,20000 - 50000,0,6.99,['English'],4,0,0,0,0,Atari,Single-player,"Simulation,Strategy"
1025020,"Wondershare Uniconverter-Video Converter, Video Editor, Video Compressor, Video Recorder, DVD Burner",31-Mar-19,0 - 20000,0,59.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Portuguese']",1,7,0,0,0,Wondershare,,
1779460,My Name is Mayo 3,17-May-22,0 - 20000,0,1.99,['English'],64,1,50,0,0,Green Lava Studios,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","Adventure,Simulation"
1063960,Ritual: Sorcerer Angel,14-Jun-19,0 - 20000,0,9.99,"['English', 'Spanish - Spain', 'Portuguese - Brazil', 'French', 'German', 'Czech', 'Portuguese', 'Russian', 'Spanish - Latin America', 'Italian']",22,2,18,0,0,Hexage,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Casual,Indie,RPG"
1184590,CubeHub,30-Dec-19,20000 - 50000,0,0.99,['English'],3,0,0,0,0,VirtexUniverse,Single-player,"Action,Casual,Indie"
1082770,Surviving Medieval,4-Feb-20,0 - 20000,0,4.99,['English'],19,12,0,0,0,Vlasov Tower,Single-player,"Indie,Simulation,Strategy"
296790,ThunderWheels,2-Nov-17,20000 - 50000,0,8.99,"['English', 'Spanish - Spain', 'Spanish - Latin America', 'Simplified Chinese']",44,11,8,0,0,Arcade Injection,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Stats,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together","Casual,Indie,Racing,Simulation,Sports,Early Access"
496980,Cosmic Cavern 3671　　宇宙最大の地底最大の作戦,14-Jul-16,0 - 20000,0,4.99,"['English', 'Japanese']",12,5,8,0,194,"Mindware Co.,Ltd.","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards,Remote Play Together","Action,Casual,Indie,Strategy"
896750,Koral,16-May-19,0 - 20000,0,2.99,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese']",258,44,17,272,0,Carlos Coronado,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Casual,Indie,Simulation"
1351290,AccidentHouse,21-Dec-20,0 - 20000,0,0.99,"['English', 'Russian', 'Simplified Chinese', 'Japanese', 'Spanish - Spain', 'Spanish - Latin America']",56,16,37,0,0,K App.,"Single-player,Steam Achievements,Steam Cloud,Stats","Action,Adventure,Casual,Indie,Simulation,Strategy"
202670,Nancy Drew®: Alibi in Ashes,2-Nov-11,0 - 20000,0,6.99,['English'],159,18,0,171,0,HeR Interactive,Single-player,Adventure
